geo.id	geo.id2	geo.display-label	total_pop	males	females	sex_ratio	pop_quintile	pop_decile
1600000US5300100	5300100	Aberdeen city, Washington	16281	8030	8251	97.32153678342019	4	8
1600000US5300135	5300135	Aberdeen Gardens CDP, Washington	283	132	151	87.41721854304636	0	1
1600000US5300380	5300380	Addy CDP, Washington	96	66	30	220.00000000000003	0	0
1600000US5300800	5300800	Ahtanum CDP, Washington	3076	1459	1617	90.22881880024737	2	5
1600000US5300905	5300905	Airway Heights city, Washington	8017	5444	2573	211.58181111542947	3	7
1600000US5301010	5301010	Albion town, Washington	744	375	369	101.62601626016261	1	3
1600000US5301045	5301045	Alder CDP, Washington	133	57	76	75.0	0	0
1600000US5301150	5301150	Alderton CDP, Washington	3303	1708	1595	107.08463949843261	3	6
1600000US5301185	5301185	Alderwood Manor CDP, Washington	8817	4232	4585	92.3009814612868	3	7
1600000US5301255	5301255	Alger CDP, Washington	235	114	121	94.21487603305785	0	1
1600000US5301290	5301290	Algona city, Washington	3171	1625	1546	105.10996119016818	2	5
1600000US5301430	5301430	Allyn CDP, Washington	2650	1358	1292	105.10835913312692	2	5
1600000US5301500	5301500	Almira town, Washington	220	104	116	89.65517241379311	0	1
1600000US5301745	5301745	Altoona CDP, Washington	61	27	34	79.41176470588235	0	0
1600000US5301780	5301780	Amanda Park CDP, Washington	119	66	53	124.52830188679245	0	0
1600000US5301850	5301850	Amboy CDP, Washington	2027	1036	991	104.54086781029264	2	4
1600000US5301920	5301920	Ames Lake CDP, Washington	1526	815	711	114.62728551336146	2	4
1600000US5301990	5301990	Anacortes city, Washington	16425	7715	8710	88.57634902411023	4	8
1600000US5302060	5302060	Anderson Island CDP, Washington	1292	657	635	103.46456692913387	2	4
1600000US5302585	5302585	Arlington city, Washington	18884	8963	9921	90.34371535127508	4	8
1600000US5302620	5302620	Arlington Heights CDP, Washington	2826	1333	1493	89.28332217012725	2	5
1600000US5302910	5302910	Artondale CDP, Washington	12937	6465	6472	99.89184177997528	4	8
1600000US5303005	5303005	Ashford CDP, Washington	162	134	28	478.57142857142856	0	0
1600000US5303075	5303075	Asotin city, Washington	1226	589	637	92.4646781789639	2	4
1600000US5303180	5303180	Auburn city, Washington	77440	37782	39658	95.26955469262191	4	9
1600000US5303736	5303736	Bainbridge Island city, Washington	23689	11498	12191	94.31547863177754	4	9
1600000US5304100	5304100	Bangor Base CDP, Washington	6358	4349	2009	216.47585863613736	3	7
1600000US5304125	5304125	Banks Lake South CDP, Washington	270	139	131	106.10687022900764	0	1
1600000US5304195	5304195	Barberton CDP, Washington	6719	3364	3355	100.2682563338301	3	7
1600000US5304300	5304300	Baring CDP, Washington	173	100	73	136.986301369863	0	1
1600000US5304347	5304347	Barney's Junction CDP, Washington	221	107	114	93.85964912280701	0	1
1600000US5304370	5304370	Barstow CDP, Washington	119	53	66	80.3030303030303	0	0
1600000US5304405	5304405	Basin City CDP, Washington	1281	606	675	89.77777777777777	2	4
1600000US5304475	5304475	Battle Ground city, Washington	19439	9371	10068	93.07707588398888	4	8
1600000US5304615	5304615	Bay Center CDP, Washington	215	140	75	186.66666666666666	0	1
1600000US5304790	5304790	Bay View CDP, Washington	625	313	312	100.32051282051282	1	2
1600000US5304895	5304895	Beaux Arts Village town, Washington	342	189	153	123.52941176470588	0	1
1600000US5305140	5305140	Belfair CDP, Washington	4063	2091	1972	106.03448275862068	3	6
1600000US5305210	5305210	Bellevue city, Washington	139014	70503	68511	102.9075622892674	4	9
1600000US5305245	5305245	Bell Hill CDP, Washington	875	481	394	122.08121827411166	1	3
1600000US5305280	5305280	Bellingham city, Washington	85388	42366	43022	98.47519873553065	4	9
1600000US5305560	5305560	Benton City city, Washington	3257	1687	1570	107.45222929936307	3	6
1600000US5305735	5305735	Bethel CDP, Washington	3673	1920	1753	109.52652595550485	3	6
1600000US5305980	5305980	Bickleton CDP, Washington	67	26	41	63.41463414634146	0	0
1600000US5306050	5306050	Big Lake CDP, Washington	1784	839	945	88.78306878306879	2	4
1600000US5306085	5306085	Bingen city, Washington	560	249	311	80.06430868167203	1	2
1600000US5306190	5306190	Birch Bay CDP, Washington	8642	4269	4373	97.62176995197804	3	7
1600000US5306330	5306330	Black Diamond city, Washington	4378	2100	2278	92.18612818261633	3	6
1600000US5306505	5306505	Blaine city, Washington	5075	2566	2509	102.27182144280589	3	6
1600000US5306855	5306855	Blyn CDP, Washington	22	13	9	144.44444444444443	0	0
1600000US5307170	5307170	Bonney Lake city, Washington	19560	9672	9888	97.81553398058253	4	8
1600000US5307380	5307380	Bothell city, Washington	44082	21762	22320	97.5	4	9
1600000US5307390	5307390	Bothell East CDP, Washington	10424	5314	5110	103.9921722113503	4	8
1600000US5307395	5307395	Bothell West CDP, Washington	20472	9886	10586	93.38749291517098	4	8
1600000US5307397	5307397	Boulevard Park CDP, Washington	3916	1960	1956	100.20449897750512	3	6
