ab,ba
ad,da
ae,ea
ah,ha
ak,ka
al,la
am,ma
an,na
ar,ra
as,sa
aba,baa
aal,ala
aam,ama
ana,naa
asa,saa
ata,taa
abb,bab
bac,cab
bad,dab
abe,bae,bea
abba,baba
abac,caba
alba,baal,bala
amba,maba
anba,bana
arab,arba,baar,bara
abas,saba
baya,yaba
acca,caca
arca,cara
acara,araca
agama,amaga
amapa,apama
anasa,asana
banca,caban
bacao,caoba
acrab,braca
badan,banda
barad,draba
abdat,batad
cabala,calaba
cabaan,cabana,canaba
badaga,dagaba,gadaba
albata,atabal,balata
artaba,batara
camaca,macaca
acamar,camara,maraca
cayapa,pacaya
armada,damara,ramada
ananda,danaan
anacara,aracana
barabra,barbara
balagan,bangala
baalath,bathala
bakatan,batakan
abrasax,abraxas
acardia,acarida,arcadia
anacard,caranda
aramaic,cariama
acarian,acarina,acrania
aracanga,caragana
atacaman,tamanaca
barracan,barranca
balangay,bangalay
acaudate,ecaudata
carandas,sandarac
acalepha,acephala
catalase,salaceta
almaciga,macaglia
acanthia,achatina
tantarara,tarantara
ablactate,cabaletta
batrachia,brachiata
alarmable,ambarella
basinasal,bassalian
cactaceae,taccaceae
aceraceae,arecaceae
acalephae,apalachee
acalephan,acephalan
cathartae,tracheata
batrachian,branchiata
labionasal,nasolabial
paradisaic,paradisiac
acephalina,phalaecian
calamitean,catamenial
anastaltic,catalanist
macromazia,macrozamia
tanagridae,tangaridae
parentalia,planetaria
australian,saturnalia
nasopalatal,palatonasal
bombacaceae,cabombaceae
appraisable,parablepsia
actaeonidae,donatiaceae
acidanthera,cantharidae
calendarial,dalecarlian
calandrinae,calendarian
analeptical,placentalia
acalyptrate,calyptratae
anaphorical,pharaonical
salamandarin,salamandrian,salamandrina
caudolateral,laterocaudal
adenosarcoma,sarcoadenoma
alcantarines,lancasterian
gallotannate,tannogallate
inobtainable,nonbilabiate
branchiopoda,podobranchia
blepharocera,reproachable
bicarpellary,prebacillary
adenofibroma,fibroadenoma
brachiofacial,faciobrachial
aerographical,areographical
aeolharmonica,chloroanaemia
lachrymonasal,nasolachrymal
grandparental,grandpaternal
hepatomegalia,megalohepatia
angiokeratoma,keratoangioma
cervicolabial,labiocervical
cheatableness,teachableness
unamenability,unnameability
paradisaically,paradisiacally
carcinosarcoma,sarcocarcinoma
antarchistical,charlatanistic
autoradiograph,radioautograph
altitudinarian,latitudinarian
transamination,transanimation
sacrovertebral,vertebrosacral
unamenableness,unnameableness
perturbational,protuberantial
galvanopsychic,psychogalvanic
abdominovaginal,vaginoabdominal
autoradiography,radioautography
abdominovesical,vesicoabdominal
uncreatableness,untraceableness
columbotitanate,titanocolumbate
barothermograph,thermobarograph
dactylopteridae,pterodactylidae
cinematographer,megachiropteran
parietovisceral,visceroparietal
germanification,remagnification
autoradiographic,radioautographic
parietosquamosal,squamosoparietal
fibromyxosarcoma,myxofibrosarcoma
antibenzaldoxime,benzantialdoxime
calcareocorneous,corneocalcareous
sacculoutricular,utriculosaccular
dynamoelectrical,electrodynamical
somatosplanchnic,splanchnosomatic
pectinatopinnate,pinnatopectinate
petrographically,pterylographical
basiparachromatin,marsipobranchiata
laryngopharyngeal,pharyngolaryngeal
chemicomechanical,mechanicochemical
calcareosiliceous,siliceocalcareous
electromagnetical,magnetoelectrical
acetmethylanilide,methylacetanilide
hexakisoctahedron,octakishexahedron
pericardiopleural,pleuropericardial
hysterolaparotomy,laparohysterotomy
microphotographic,photomicrographic
chondromyxosarcoma,myxochondrosarcoma
laryngotracheotomy,tracheolaryngotomy
hexakistetrahedron,tetrakishexahedron
galvanothermometer,thermogalvanometer
laryngopharyngitis,pharyngolaryngitis
neuropsychological,psychoneurological
chronophotographic,photochronographic
epididymovasostomy,vasoepididymostomy
chorioidoretinitis,retinochorioiditis
electrothermometer,thermoelectrometer
anatomicopathologic,pathologicoanatomic
pericardiacophrenic,phrenicopericardiac
clinicopathological,pathologicoclinical
esophagogastrostomy,gastroesophagostomy
physiopsychological,psychophysiological
encephalomeningitis,meningoencephalitis
incontrovertibility,introconvertibility
glossolabiolaryngeal,labioglossolaryngeal
anatomicophysiologic,physiologicoanatomic
encephalomeningocele,meningoencephalocele
anatomicopathological,pathologicoanatomical
glossolabiopharyngeal,labioglossopharyngeal
duodenopancreatectomy,pancreatoduodenectomy
chromophotolithograph,photochromolithograph
hydropneumopericardium,pneumohydropericardium
cholecystoduodenostomy,duodenocholecystostomy
